_row_index,cve_id,commit_hash,repo_name,repo_url,commit_urls,source_file,language,_language,_language_source,selection_source,cwe_ids,cwe_tokens,multiple_language
5,CVE-2005-10003,6ed8e3cc336e29f09c7e791863d0559939da98bf,github.com/mikexstudios/xcomic,https://github.com/mikexstudios/xcomic,https://github.com/mikexstudios/xcomic/commit/6ed8e3cc336e29f09c7e791863d0559939da98bf,cvelistV5/cves/2005/10xxx/CVE-2005-10003.json,JSON,JSON,csv,references_fallback,CWE-78,CWE-78,false
87,CVE-2008-10004,126c141b7db038c778a2dc931d38766aad8d1112,github.com/drupalprojects/email_registration,https://github.com/drupalprojects/email_registration,https://github.com/drupalprojects/email_registration/commit/126c141b7db038c778a2dc931d38766aad8d1112,cvelistV5/cves/2008/10xxx/CVE-2008-10004.json,JSON,JSON,csv,references_fallback,CWE-89,CWE-89,false
112,CVE-2008-5619,8beacc646acb67c995aea10ac5585970efc7355a,github.com/PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer/commit/8beacc646acb67c995aea10ac5585970efc7355a,cvelistV5/cves/2008/5xxx/CVE-2008-5619.json,Markdown,Markdown,csv,references_fallback,CWE-94,CWE-94,false
147,CVE-2009-1605,451373e028f82fa2f1cc2a6a669df31d85c877bd,cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git/commit/?id=451373e028f82fa2f1cc2a6a669df31d85c877bd,cvelistV5/cves/2009/1xxx/CVE-2009-1605.json,JSON,JSON,csv,references_fallback,CWE-119,CWE-119,false
212,CVE-2009-4117,a21cc1548993c392e474817bb3d656eb3730d88f,cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git/commit/?id=a21cc1548993c392e474817bb3d656eb3730d88f,cvelistV5/cves/2009/4xxx/CVE-2009-4117.json,JSON,JSON,csv,references_fallback,CWE-119,CWE-119,false
213,CVE-2009-4117,cf6860c3d70a2f7a63cdb621cc3b58c891915deb,cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git,https://cgit.ghostscript.com/cgi-bin/cgit.cgi/mupdf.git/commit/?id=cf6860c3d70a2f7a63cdb621cc3b58c891915deb,cvelistV5/cves/2009/4xxx/CVE-2009-4117.json,JSON,JSON,csv,references_fallback,CWE-119,CWE-119,false
292,CVE-2010-2447,1e06fea3b6959faeb72d8dca46cd4753ada48637,github.com/sitaramc/gitolite,https://github.com/sitaramc/gitolite,https://github.com/sitaramc/gitolite/commit/1e06fea3b6959faeb72d8dca46cd4753ada48637,cvelistV5/cves/2010/2xxx/CVE-2010-2447.json,JSON,JSON,csv,references_fallback,CWE-20,CWE-20,false
293,CVE-2010-2447,5fd9328c1cd1e7c576b6530b3253061c68b159aa,github.com/sitaramc/gitolite,https://github.com/sitaramc/gitolite,https://github.com/sitaramc/gitolite/commit/5fd9328c1cd1e7c576b6530b3253061c68b159aa,cvelistV5/cves/2010/2xxx/CVE-2010-2447.json,JSON,JSON,csv,references_fallback,CWE-20,CWE-20,false
308,CVE-2010-2761,e4942b871a26c1317a175a91ebb7262eea59b380,github.com/AndyA/CGI--Simple,https://github.com/AndyA/CGI--Simple,https://github.com/AndyA/CGI--Simple/commit/e4942b871a26c1317a175a91ebb7262eea59b380,cvelistV5/cves/2010/2xxx/CVE-2010-2761.json,Perl,Perl,csv,references_fallback,CWE-94,CWE-94,false
311,CVE-2010-2809,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,github.com/Dieterbe/uzbl,https://github.com/Dieterbe/uzbl,http://github.com/Dieterbe/uzbl/commit/9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,cvelistV5/cves/2010/2xxx/CVE-2010-2809.json,JSON,JSON,csv,references_fallback,CWE-94,CWE-94,false
