id,vendor,product,project_name,github_org_url,github_project_url,github_project_url_git_status,github_project_url_git_detail,github_project_url_git_normalized,github_project_url_git_checked_at_utc,is_open_source,reason,source_file,source_attempt,source_timestamp_ms,batch_index,cve_count,cve_match_found
4,0branch,boron,boron,https://github.com/0branch,https://github.com/0branch/boron,working,git ls-remote succeeded,https://github.com/0branch/boron,2026-04-13T18:36:55+00:00,True,Open-source library hosted on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000001_1775582972243_response.json,1,1775582972243,1,6,True
6,0xjacky,nginx-ui,nginx-ui,https://github.com/0xjacky,https://github.com/0xjacky/nginx-ui,working,git ls-remote succeeded,https://github.com/0xjacky/nginx-ui,2026-04-13T18:36:55+00:00,True,Open-source Nginx UI hosted on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000001_1775582972243_response.json,1,1775582972243,1,30,True
34,10up,elasticpress,ElasticPress,https://github.com/10up,https://github.com/10up/ElasticPress,working,git ls-remote succeeded,https://github.com/10up/ElasticPress,2026-04-13T18:36:55+00:00,True,ElasticPress is an open-source WordPress plugin hosted on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000004_1775582982000_response.json,1,1775582982000,4,6,True
35,10up,safe_svg,Safe SVG,https://github.com/10up,https://github.com/10up/safe-svg,working,git ls-remote succeeded,https://github.com/10up/safe-svg,2026-04-13T18:36:55+00:00,True,Safe SVG is an open-source WordPress plugin hosted on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000004_1775582982000_response.json,1,1775582982000,4,12,True
36,10up,simple local avatars,Simple Local Avatars,https://github.com/10up,https://github.com/10up/simple-local-avatars,working,git ls-remote succeeded,https://github.com/10up/simple-local-avatars,2026-04-13T18:36:55+00:00,True,Simple Local Avatars is an open-source WordPress plugin hosted on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000004_1775582982000_response.json,1,1775582982000,4,6,True
64,1panel-dev,1panel,1Panel,https://github.com/1panel-dev,https://github.com/1panel-dev/1Panel,working,git ls-remote succeeded,https://github.com/1panel-dev/1Panel,2026-04-13T18:36:55+00:00,True,Open‑source project hosted on GitHub under the 1Panel‑dev organization with an MIT license.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000007_1775582907518_response.json,1,1775582907518,7,32,True
65,1panel-dev,kubepi,KubePi,https://github.com/1panel-dev,https://github.com/1panel-dev/kubepi,working,git ls-remote succeeded,https://github.com/1panel-dev/kubepi,2026-04-13T18:36:55+00:00,True,Open‑source project hosted on GitHub under the 1Panel‑dev organization; released under an open license.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000007_1775582907518_response.json,1,1775582907518,7,6,True
66,1panel-dev,maxkb,MaxKB,https://github.com/1panel-dev,https://github.com/1panel-dev/maxkb,working,git ls-remote succeeded,https://github.com/1panel-dev/maxkb,2026-04-13T18:36:55+00:00,True,Open‑source knowledge‑base project hosted on GitHub under the 1Panel‑dev organization; available under an open license.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000007_1775582907518_response.json,1,1775582907518,7,22,True
76,201206030,novel-plus,novel-plus,https://github.com/201206030,https://github.com/201206030/novel-plus,working,git ls-remote succeeded,https://github.com/201206030/novel-plus,2026-04-13T18:36:55+00:00,True,The novel-plus project is open source and maintained under the 201206030 GitHub user.,/home/user1/kk_peplen/cve-search/output/minimax_raw_remaining_opencode_tqdm/batch_000003_1775616718704_response.json,1,1775616718704,3,6,True
136,3proxy,3proxy,3proxy,https://github.com/3proxy,https://github.com/3proxy/3proxy,working,git ls-remote succeeded,https://github.com/3proxy/3proxy,2026-04-13T18:36:55+00:00,True,3proxy is an open-source proxy server released under the 3proxy license.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000014_1775582934448_response.json,1,1775582934448,14,15,True
151,4ra1n,super-xray,super-xray,https://github.com/4ra1n,https://github.com/4ra1n/super-xray,working,git ls-remote succeeded,https://github.com/4ra1n/super-xray,2026-04-13T18:36:55+00:00,True,The project is open source and its code is hosted on GitHub under an open source license.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000016_1775582930530_response.json,1,1775582930530,16,6,True
163,648540858,wvp-gb28181-pro,wvp-gb28181-pro,https://github.com/648540858,https://github.com/648540858/wvp-gb28181-pro,working,git ls-remote succeeded,https://github.com/648540858/wvp-gb28181-pro,2026-04-13T18:36:55+00:00,True,The project 'wvp-gb28181-pro' is hosted on GitHub under the user 648540858 and released as open source.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000017_1775582922540_response.json,1,1775582922540,17,6,True
180,86dbs,dbsyncer,dbsyncer,https://github.com/86dbs,https://github.com/86dbs/dbsyncer,working,git ls-remote succeeded,https://github.com/86dbs/dbsyncer,2026-04-13T18:36:55+00:00,True,dbsyncer is an open-source database synchronization tool published on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_pending_from_remaining_opencode_tqdm_retry2/batch_000002_1775634932861_attempt01_response.json,1,1775634932861,2,6,True
188,8x8,jitsi_meet,jitsi-meet,https://github.com/jitsi,https://github.com/jitsi/jitsi-meet,working,git ls-remote succeeded,https://github.com/jitsi/jitsi-meet,2026-04-13T18:36:55+00:00,True,Jitsi Meet is an open source video conferencing platform hosted on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000019_1775582993132_response.json,1,1775582993132,19,15,True
189,9001,copyparty,copyparty,https://github.com/9001,https://github.com/9001/copyparty,working,git ls-remote succeeded,https://github.com/9001/copyparty,2026-04-13T18:36:55+00:00,True,Copyparty is an open source Python file sharing web app available on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000019_1775582993132_response.json,1,1775582993132,19,32,True
190,9bis,kitty,kitty,https://github.com/kovidgoyal,https://github.com/kovidgoyal/kitty,working,git ls-remote succeeded,https://github.com/kovidgoyal/kitty,2026-04-13T18:36:55+00:00,True,Kitty is an open source terminal emulator maintained by kovidgoyal on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000019_1775582993132_response.json,1,1775582993132,19,15,True
191,9fans,plan9port,plan9port,https://github.com/9fans,https://github.com/9fans/plan9port,working,git ls-remote succeeded,https://github.com/9fans/plan9port,2026-04-13T18:36:55+00:00,True,"Plan9port is an open source port of Plan 9 utilities to Unix, hosted on GitHub under the 9fans organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,6,True
193,@tinacms,cli,tinacms,https://github.com/tinacms,https://github.com/tinacms/tinacms,working,git ls-remote succeeded,https://github.com/tinacms/tinacms,2026-04-13T18:36:55+00:00,True,TinaCMS and its CLI are open source projects under the tinacms GitHub organization.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,6,True
194,[unknown],389-ds-base,389-ds-base,https://github.com/389ds,https://github.com/389ds/389-ds-base,working,git ls-remote succeeded,https://github.com/389ds/389-ds-base,2026-04-13T18:36:55+00:00,True,"389-ds-base is the open source 389 Directory Server base, hosted on GitHub under the 389ds organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,10,True
195,[unknown],ansible,ansible,https://github.com/ansible,https://github.com/ansible/ansible,working,git ls-remote succeeded,https://github.com/ansible/ansible,2026-04-13T18:36:55+00:00,True,"Ansible is an open source automation tool, with its main repository hosted on GitHub under the ansible organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,14,True
196,[unknown],atomic-openshift,origin,https://github.com/openshift,https://github.com/openshift/origin,working,git ls-remote succeeded,https://github.com/openshift/origin,2026-04-13T18:36:55+00:00,True,"Atomic OpenShift refers to the open source upstream OpenShift Origin (OKD) project, hosted under the openshift GitHub organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,6,True
197,[unknown],ceph,ceph,https://github.com/ceph,https://github.com/ceph/ceph,working,git ls-remote succeeded,https://github.com/ceph/ceph,2026-04-13T18:36:55+00:00,True,"Ceph is an open source distributed storage system, with its main repository on GitHub under the ceph organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,14,True
198,[unknown],cfme,manageiq,https://github.com/ManageIQ,https://github.com/ManageIQ/manageiq,working,git ls-remote succeeded,https://github.com/ManageIQ/manageiq,2026-04-13T18:36:55+00:00,True,"CFME (CloudForms Management Engine) is the open source ManageIQ project, hosted under the ManageIQ GitHub organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,6,True
199,[unknown],dpdk,dpdk,https://github.com/dpdk,https://github.com/dpdk/dpdk,working,git ls-remote succeeded,https://github.com/dpdk/dpdk,2026-04-13T18:36:55+00:00,True,"DPDK is an open source data plane development kit, with its main repository on GitHub under the dpdk organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,10,True
200,[unknown],gnutls,gnutls,https://github.com/gnutls,https://github.com/gnutls/gnutls,working,git ls-remote succeeded,https://github.com/gnutls/gnutls,2026-04-13T18:36:55+00:00,True,"GnuTLS is an open source TLS library, hosted on GitHub under the gnutls organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000020_1775582939297_response.json,1,1775582939297,20,8,True
201,[unknown],golang,go,https://github.com/golang,https://github.com/golang/go,working,git ls-remote succeeded,https://github.com/golang/go,2026-04-13T18:36:55+00:00,True,"Go (golang) is an open-source programming language developed by the Go project, hosted publicly on GitHub.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,6,True
202,[unknown],jenkins,jenkins,https://github.com/jenkinsci,https://github.com/jenkinsci/jenkins,working,git ls-remote succeeded,https://github.com/jenkinsci/jenkins,2026-04-13T18:36:55+00:00,True,"Jenkins is an open-source automation server maintained by the Jenkins project, publicly available on GitHub.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,24,True
203,[unknown],kernel,linux,https://github.com/torvalds,https://github.com/torvalds/linux,working,git ls-remote succeeded,https://github.com/torvalds/linux,2026-04-13T18:36:55+00:00,True,"The Linux kernel is open-source software managed by Linus Torvalds, with the official repository on GitHub.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,28,True
204,[unknown],kernel:,linux,https://github.com/torvalds,https://github.com/torvalds/linux,working,git ls-remote succeeded,https://github.com/torvalds/linux,2026-04-13T18:36:55+00:00,True,"The entry is a variant of the Linux kernel, which remains open-source with the same repository.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,12,True
205,[unknown],keycloak,keycloak,https://github.com/keycloak,https://github.com/keycloak/keycloak,working,git ls-remote succeeded,https://github.com/keycloak/keycloak,2026-04-13T18:36:55+00:00,True,Keycloak is an open-source identity and access management solution maintained by the Keycloak project on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,12,True
206,[unknown],moodle,moodle,https://github.com/moodle,https://github.com/moodle/moodle,working,git ls-remote succeeded,https://github.com/moodle/moodle,2026-04-13T18:36:55+00:00,True,Moodle is an open-source learning management platform hosted on GitHub under the Moodle project.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,44,True
207,[unknown],nginx,nginx,https://github.com/nginx,https://github.com/nginx/nginx,working,git ls-remote succeeded,https://github.com/nginx/nginx,2026-04-13T18:36:55+00:00,True,The open-source NGINX web server is maintained in the official NGINX repository on GitHub.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,6,True
208,[unknown],openstack-mistral,mistral,https://github.com/openstack,https://github.com/openstack/mistral,working,git ls-remote succeeded,https://github.com/openstack/mistral,2026-04-13T18:36:55+00:00,True,"Mistral is an open-source workflow service part of the OpenStack ecosystem, with its repository hosted on GitHub.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,6,True
209,[unknown],pdns,pdns,https://github.com/PowerDNS,https://github.com/PowerDNS/pdns,working,git ls-remote succeeded,https://github.com/PowerDNS/pdns,2026-04-13T18:36:55+00:00,True,"PowerDNS (pdns) is an open-source DNS server software, publicly available on GitHub under the PowerDNS organization.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,6,True
210,[unknown],pki-core,pki,https://github.com/dogtagpki,https://github.com/dogtagpki/pki,working,git ls-remote succeeded,https://github.com/dogtagpki/pki,2026-04-13T18:36:55+00:00,True,"pki-core corresponds to the core component of the Dogtag PKI project, which is open-source under the Apache License 2.0 and hosted on GitHub.",/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000021_1775582969654_response.json,1,1775582969654,21,8,True
212,[unknown],qemu:,QEMU,https://github.com/qemu,https://github.com/qemu/qemu,working,git ls-remote succeeded,https://github.com/qemu/qemu,2026-04-13T18:36:55+00:00,True,QEMU is an open-source machine emulator and virtualizer.,/home/user1/kk_peplen/cve-search/output/minimax_raw_full_opencode_tqdm/batch_000022_1775582955096_response.json,1,1775582955096,22,6,True
