cve_id,commit_hash,selection_source,repo_name,repo_url,commit_urls,source_file,cwe_ids,cwe_tokens
CVE-1999-0199,2864e767053317538feafa815046fff89e5a16be,references_fallback,github.com/bminor/glibc,https://github.com/bminor/glibc,https://github.com/bminor/glibc/commit/2864e767053317538feafa815046fff89e5a16be#diff-94e8c502f255fdfc346df0e29fd4ef40,cvelistV5/cves/1999/0xxx/CVE-1999-0199.json,CWE-252,CWE-252
CVE-1999-0731,04906bd5de2f220bf100b605dad37b4a1d9a91a6,references_fallback,github.com/KDE/kde1-kdebase,https://github.com/KDE/kde1-kdebase,https://github.com/KDE/kde1-kdebase/commit/04906bd5de2f220bf100b605dad37b4a1d9a91a6,cvelistV5/cves/1999/0xxx/CVE-1999-0731.json,,
CVE-2002-2443,cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,references_fallback,github.com/krb5/krb5,https://github.com/krb5/krb5,https://github.com/krb5/krb5/commit/cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,cvelistV5/cves/2002/2xxx/CVE-2002-2443.json,CWE-20,CWE-20
CVE-2005-10002,cab025e5fc2bcdad8032d833ebc38e6bd2a13c92,references_fallback,github.com/wp-plugins/secure-files.git,https://github.com/wp-plugins/secure-files.git,https://github.com/wp-plugins/secure-files/commit/cab025e5fc2bcdad8032d833ebc38e6bd2a13c92,cvelistV5/cves/2005/10xxx/CVE-2005-10002.json,CWE-22,CWE-22
CVE-2005-10003,6ed8e3cc336e29f09c7e791863d0559939da98bf,references_fallback,github.com/mikexstudios/xcomic,https://github.com/mikexstudios/xcomic,https://github.com/mikexstudios/xcomic/commit/6ed8e3cc336e29f09c7e791863d0559939da98bf,cvelistV5/cves/2005/10xxx/CVE-2005-10003.json,CWE-78,CWE-78
CVE-2005-1761,4ea78729b8dbfc400fe165a57b90a394a7275a54,references_fallback,git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,http://kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=4ea78729b8dbfc400fe165a57b90a394a7275a54,cvelistV5/cves/2005/1xxx/CVE-2005-1761.json,CWE-20,CWE-20
CVE-2005-1764,637716a3825e186555361574aa1fa3c0ebf8018b,references_fallback,git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=637716a3825e186555361574aa1fa3c0ebf8018b;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commitdiff%3Bh=637716a3825e186555361574aa1fa3c0ebf8018b;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=637716a3825e186555361574aa1fa3c0ebf8018b;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commitdiff;h=637716a3825e186555361574aa1fa3c0ebf8018b,cvelistV5/cves/2005/1xxx/CVE-2005-1764.json,,
CVE-2005-2456,a4f1bac62564049ea4718c4624b0fadc9f597c84,references_fallback,git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=a4f1bac62564049ea4718c4624b0fadc9f597c84;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=a4f1bac62564049ea4718c4624b0fadc9f597c84,cvelistV5/cves/2005/2xxx/CVE-2005-2456.json,CWE-667,CWE-667
CVE-2005-2555,6fc0b4a7a73a81e74d0004732df358f4f9975be2,references_fallback,git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=6fc0b4a7a73a81e74d0004732df358f4f9975be2;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commitdiff%3Bh=6fc0b4a7a73a81e74d0004732df358f4f9975be2;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=6fc0b4a7a73a81e74d0004732df358f4f9975be2;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commitdiff;h=6fc0b4a7a73a81e74d0004732df358f4f9975be2,cvelistV5/cves/2005/2xxx/CVE-2005-2555.json,CWE-264,CWE-264
CVE-2005-2617,9fb1759a3102c26cd8f64254a7c3e532782c2bb8,references_fallback,git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux-2.6,http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commit%3Bh=9fb1759a3102c26cd8f64254a7c3e532782c2bb8;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git%3Ba=commitdiff%3Bh=9fb1759a3102c26cd8f64254a7c3e532782c2bb8;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=9fb1759a3102c26cd8f64254a7c3e532782c2bb8;http://www.kernel.org/git/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commitdiff;h=9fb1759a3102c26cd8f64254a7c3e532782c2bb8,cvelistV5/cves/2005/2xxx/CVE-2005-2617.json,,
